id,sport,league,match,odds,match_date,status,created_at,updated_at,betting_company_id,stake,total_win,result_id
12e59aaa-5712-4bcc-9600-c283fdd02356,Tennis,UTR Olomouc m,Wassermann-Malis,1.030,2025-12-19 13:00:22.359+00,win,2025-12-29 20:52:54.551416+00,2025-12-29 20:52:58.600713+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,500,515,38550af5-80c0-4fbf-8530-3faefc77872d
141960fb-522d-46a1-aef4-fafc2f9a0116,Tenis,,Olyinikova - Nahimana,1.040,2025-11-25 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,416,38550af5-80c0-4fbf-8530-3faefc77872d
1a8406be-1bf6-43eb-93c8-a232e6664798,Tenis,,Masters Alcaraz - Fritz,1.210,2025-11-11 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,100,121,38550af5-80c0-4fbf-8530-3faefc77872d
1c3c4a1b-b499-49e8-a5da-2620acf03965,Tenis,ITF Trnava,Havlickova - Kovacicova,1.030,2025-11-17 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,412,38550af5-80c0-4fbf-8530-3faefc77872d
2483ff53-0cd1-465c-bd2d-30250e4493b8,Volejbal,CEV,Strumica - Budejovice,1.110,2025-11-19 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,222,dce0bb02-eec7-4e35-8979-27d3ad80e626
2f4c5f9f-028c-4a79-918f-37147d956939,Volejbal,Chorvatsko ž,Olimpik-Kastela,1.050,2025-12-06 00:00:00+00,win,2025-12-26 14:20:11.405406+00,2025-12-26 19:51:12.379879+00,036fe77f-f175-4709-a6d1-a650fd05b151,800,840,dce0bb02-eec7-4e35-8979-27d3ad80e626
331cae06-fd70-4f2f-a839-14d52aec0ecb,Tenis,UTR Olomouc ž,Mandelikova-Perhacova,1.060,2025-12-08 00:00:00+00,win,2025-12-17 17:29:21.234369+00,2025-12-18 19:10:49.642604+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,212,38550af5-80c0-4fbf-8530-3faefc77872d
3e1cbbe6-9faa-4b6d-b10e-2a8dbed6830f,Tenis,ITF Sharm,el Sheik Biryukov - Kaufman,1.040,2025-11-12 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,312,38550af5-80c0-4fbf-8530-3faefc77872d
3e673a93-c739-4307-89c2-7c8b8a13bfbd,Ice Hockey,Lotyšsko,Punks-Zemgale,1.030,2025-12-18 15:00:38.975+00,win,2025-12-29 19:20:50.993217+00,2025-12-29 19:20:54.448177+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,600,618,dce0bb02-eec7-4e35-8979-27d3ad80e626
3f379cfe-4221-4a92-aa6a-45fc0ccfd93d,Hokej,,Sanok - Jastrzbie,1.030,2025-11-14 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,400,412,dce0bb02-eec7-4e35-8979-27d3ad80e626
3f5bb9ad-3239-419c-8b57-bb2a313f833d,Futbal,,Dansko - Bielorusko,1.080,2025-11-15 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,200,216,38550af5-80c0-4fbf-8530-3faefc77872d
45c38961-837d-47f9-9552-c2bb71cde4ee,Volejbal,SVK ž,Nové Mesto-Presov,1.050,2025-12-14 00:00:00+00,win,2025-12-26 14:20:11.405406+00,2025-12-26 19:46:17.655647+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,315,38550af5-80c0-4fbf-8530-3faefc77872d
4a4c6c89-59c5-4db1-ac1e-6b4b1f5e028c,Volejbal,Al,rayyan -  shamal,1.040,2025-11-25 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,500,520,38550af5-80c0-4fbf-8530-3faefc77872d
4fc12de9-4a82-4a17-a4aa-db0ff288233e,Futsal,,Plzen - Usti,1.120,2025-11-14 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,200,224,38550af5-80c0-4fbf-8530-3faefc77872d
525f0b2e-3671-4c06-a8d8-18eaa835edd9,Tenis,Challenger Knoxville,USA A. Walton - T. Zink,1.280,2025-11-10 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,100,128,38550af5-80c0-4fbf-8530-3faefc77872d
5837cc22-39e2-4e7b-b377-8b3adf60d078,Volejbal,,Aarhus - Amager,1.050,2025-11-30 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,600,630,38550af5-80c0-4fbf-8530-3faefc77872d
5c9ad34e-f52c-4a43-8755-44e7888bb5e3,hadzana,mol liga,Most - Michalovce,1.600,2025-11-05 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,100,160,38550af5-80c0-4fbf-8530-3faefc77872d
607de377-f556-4086-b479-dac016be0f28,Volejbal,Rakusko,Aich - Bisamberg,1.030,2025-11-29 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,600,618,38550af5-80c0-4fbf-8530-3faefc77872d
611742a7-bbff-42b7-8e67-b8284cbf62bc,Tenis,UTR Ithaca,Kilmer - Fernandes,1.040,2025-11-21 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,312,dce0bb02-eec7-4e35-8979-27d3ad80e626
62f1630a-faf3-40d5-83fe-b094fc841c2b,Tennis,UTR Newport ž,Lansky-Shcherbinina,1.060,2025-12-19 21:00:56.339+00,win,2025-12-29 20:51:07.271071+00,2025-12-29 20:51:11.486398+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,424,dce0bb02-eec7-4e35-8979-27d3ad80e626
6b9c7a16-676e-498f-a260-28583b80bf26,Tenis,UTR Olomouc ž,Holubova-Hatouka,1.050,2025-12-11 00:00:00+00,win,2025-12-17 17:29:21.234369+00,2025-12-18 19:08:47.506384+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,315,dce0bb02-eec7-4e35-8979-27d3ad80e626
6bb92877-47da-440c-be78-3a74f7666aec,Squash,US Open ž,Azman-Orfi,1.100,2025-12-03 20:13:06.032+00,win,2025-12-29 19:14:05.673211+00,2025-12-29 19:14:09.76394+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,400,440.00000000000006,dce0bb02-eec7-4e35-8979-27d3ad80e626
6d00fbc1-c93b-4b44-a6fb-c5b2ceb4183b,Tenis,UTR Newport ž,Grechkina-Maunupau,1.070,2025-12-16 00:00:00+00,loss,2025-12-26 14:20:11.405406+00,2025-12-29 17:34:14.200041+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,0,38550af5-80c0-4fbf-8530-3faefc77872d
6d257124-ed4a-4c2c-aaa0-8c845d56e011,Tenis,UTR Knoxwille ž,Budko-Hewitt,1.040,2025-12-12 00:00:00+00,win,2025-12-26 14:20:29.770393+00,2025-12-26 19:56:17.100451+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,416,dce0bb02-eec7-4e35-8979-27d3ad80e626
70b1de16-a6d0-406e-a9b7-15d6ae0fbf0b,Tenis,W50 Helsinki,Fínsko Z. Vancouverová - L. Laboutkova,1.150,2025-11-07 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,230,38550af5-80c0-4fbf-8530-3faefc77872d
73c750f3-f290-46dd-ad60-d43cdb21c7d7,Futsal,,Vyskov - Chrudim,1.100,2025-11-15 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,200,220,dce0bb02-eec7-4e35-8979-27d3ad80e626
78d77e0b-05d9-4605-8612-a87ec54b9677,Tenis,UTR Boca Raton m,Pecotic-Das,1.030,2025-12-17 00:00:00+00,win,2025-12-26 14:20:11.405406+00,2025-12-29 17:20:55.547097+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,412,38550af5-80c0-4fbf-8530-3faefc77872d
80210c84-8ac8-49e6-ba51-7fb047890c3c,Futsal,,Plzeň - Brno,1.100,2025-11-21 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,200,220,38550af5-80c0-4fbf-8530-3faefc77872d
80f80700-4a8f-49ef-933e-c1357d65e7c4,Volleyball,China ž,Shandong-Fujian,1.060,2025-12-27 11:30:44.198+00,win,2025-12-29 21:03:15.024549+00,2025-12-29 21:03:20.036005+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,300,318,38550af5-80c0-4fbf-8530-3faefc77872d
814472cc-b482-48e0-8f41-d2e211c9296f,Tenis,Masters,Sinner - Alcaraz,1.600,2025-11-16 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,100,160,38550af5-80c0-4fbf-8530-3faefc77872d
81a5e931-bc02-4453-a289-b08715921d93,Tenis,Ateny,Schinas - Casanova,1.030,2025-11-23 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,412,dce0bb02-eec7-4e35-8979-27d3ad80e626
85de00a3-48cb-4575-9e60-890bac70e645,Hokej,,Torun - Sanok,1.030,2025-11-21 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,400,412,38550af5-80c0-4fbf-8530-3faefc77872d
8b7fe93f-7ce6-4fcf-af85-831edb5289cf,Tenis,UTR Boca,Sahnis - Jackson,1.083,2025-11-14 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,324,dce0bb02-eec7-4e35-8979-27d3ad80e626
8bdc251e-1f5d-47d3-ab1b-5360f84ff84b,Tennis,UTR Waco ž,Ludwig-Shcherbinina,1.030,2025-12-29 21:00:28.397+00,win,2025-12-29 21:06:01.708445+00,2025-12-29 21:06:06.493005+00,036fe77f-f175-4709-a6d1-a650fd05b151,600,618,dce0bb02-eec7-4e35-8979-27d3ad80e626
8cef0da5-a36c-4b9e-89d4-5b0f53bc16f9,Futsal,Cesko,Chrudim-Chomutov,1.120,2025-12-05 00:00:00+00,win,2025-12-26 14:20:11.405406+00,2025-12-26 19:50:15.978176+00,6d2cf267-5c64-4a13-821b-dac127755e3a,200,224,38550af5-80c0-4fbf-8530-3faefc77872d
8e6d0afb-8054-44eb-93cd-ec490e65e6f0,Hadzana,,Legionowo - Kielce,1.030,2025-11-23 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,800,824,dce0bb02-eec7-4e35-8979-27d3ad80e626
91efc731-4cff-405d-a26c-fd085da774cd,Volleyball,Bosna m,Kakanj-Borac,1.050,2025-12-03 17:30:16.208+00,win,2025-12-29 19:15:51.600659+00,2025-12-29 19:15:55.456609+00,036fe77f-f175-4709-a6d1-a650fd05b151,800,840,38550af5-80c0-4fbf-8530-3faefc77872d
91f2eec0-e735-44dc-bac8-e95519f43d4e,Tenis,UTR Knoxwille m,Kotzen-Cohen,1.070,2025-12-08 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 19:10:14.592741+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,214,38550af5-80c0-4fbf-8530-3faefc77872d
92384956-0df2-41a1-af77-086913f8f8c6,Tenis,W75 Trnava,SR R. Šramková - A. L. Nita,1.250,2025-11-04 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,898ab5bf-40d3-4aa7-ae00-57adddae8fd3,100,125,38550af5-80c0-4fbf-8530-3faefc77872d
93dc86c5-8716-49ef-acc0-876bb12c6d96,Volejbal,Egypt m,Al Ahly-Sporting,1.100,2025-12-16 00:00:00+00,win,2025-12-26 14:20:11.405406+00,2025-12-26 19:45:20.087629+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,330,38550af5-80c0-4fbf-8530-3faefc77872d
97e9332e-7d1c-4130-98e4-71cc5070d4ff,Tenis,ITF Hradec,Recek/Siniakov - Blazka/Homola,1.040,2025-11-27 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,400,416,38550af5-80c0-4fbf-8530-3faefc77872d
9c6c1a65-3550-48cd-a0dc-fdb0d87fabf0,Tenis,UTR Knoxwille ž,Bedard-Frey,1.050,2025-12-12 00:00:00+00,win,2025-12-17 17:29:21.234369+00,2025-12-18 19:07:40.989612+00,036fe77f-f175-4709-a6d1-a650fd05b151,300,315,dce0bb02-eec7-4e35-8979-27d3ad80e626
9f0f9809-7d07-473e-b3cc-8c79719a3033,Beachvolleyball,,Capogroso/Capogroso - Mondlane/Mungoi,1.050,2025-11-14 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,6d2cf267-5c64-4a13-821b-dac127755e3a,600,630,38550af5-80c0-4fbf-8530-3faefc77872d
a86c380b-0c63-4768-ba9c-50ddf755446e,Tenis,Davis cup,Taliansko - Rakúsko,1.083,2025-11-19 00:00:00+00,win,2025-12-18 14:11:10.775577+00,2025-12-18 14:11:10.775577+00,036fe77f-f175-4709-a6d1-a650fd05b151,200,216,38550af5-80c0-4fbf-8530-3faefc77872d
