date,betting_company,sport,league,team,odds,amount
10.9.2025,Nike,softball,me ženy,Holandsko,1.01,600
10.9.2025,Nike,softball,me ženy,Taliansko,1.01,600
10.9.2025,Nike,hádzaná,Dánsko ženy,esbjerg,1.01,600
10.9.2025,Bet365,volejbal,brasil paulista ženy,osasco,1.04,600
10.9.2025,Bet365,volejbal,Thajsko ženy,rangsit,1.05,212
10.9.2025,Bet365,volejbal,Thajsko ženy,dhurakij,1.015,400
11.9.2025,Bet365,volejbal,Thajsko muži,nakhon,1.02,600
11.9.2025,Nike,rugby,super League,wigan,1.01,600
11.9.2025,Bet365,volejbal,Argentína de honor ženy,estudiantes,1.02,700
11.9.2025,Bet365,volejbal,Kostarika muži,uned,1.02,700
11.9.2025,Bet365,volejbal,Thajsko ženy,rajamangla,1.03,216
11.9.2025,Bet365,volejbal,Thajsko ženy,sripatum,1.025,400
12.9.2025,Nike,tenis,utr skopje,madarasz,1.04,600
12.9.2025,Nike,tenis,Davis cup,Srbsko,1.02,400
12.9.2025,Nike,futbal,Španielsko ženy,Barcelona,1.01,600
12.9.2025,Bet365,volejbal,brasil paulista U19,olimpico,1.015,600
12.9.2025,Bet365,volejbal,Thajsko,rajapruk,1.012,600
13.9.2025,Nike,hádzaná,Poľsko muži,plock,1.01,900
13.9.2025,Nike,hádzaná,Poľsko muži,kielce,1.01,1000
14.9.2025,Bet365,volejbal,Thajsko muži,sukhothai,1.015,600
14.9.2025,Nike,hádzaná,mol liga,most,1.01,800
14.9.2025,Nike,hádzaná,Poľsko ženy,mks lublin,1.01,800
16.9.2025,Nike,tenis,WTA caldas ženy,kalieva 1.set,1.03,400
16.9.2025,Nike,tenis,kursumlijska muži,maksimovic,1.01,400
16.9.2025,Nike,tenis,WTA caldas ženy,nozdrachova vyhra aspoň set,1.09,200
16.9.2025,Bet365,volejbal,zápasy zen,vtv binh,1.025,620
16.9.2025,Bet365,volejbal,zápasy zen,supreme,1.05,620
16.9.2025,Bet365,volejbal,zápasy zen,sisaket,1.04,620
16.9.2025,Bet365,volejbal,zápasy zen,vtv binh,1.025,440
17.9.2025,Bet365,volejbal,brasil U19 ženy,barueri,1.025,306
17.9.2025,Bet365,volejbal,brasil U19 ženy,osasco,1.025,306
17.9.2025,Bet365,volejbal,ncaa ženy,michigan,1.04,306
17.9.2025,Bet365,volejbal,brasil U19 ženy,barueri,1.025,400
17.9.2025,Bet365,volejbal,brasil U19 ženy,osasco,1.025,400
17.9.2025,Nike,rugby,super league,hull,1.01,600
17.9.2025,Bet365,volejbal,zápasy zen,khonkaen,1.03,405
17.9.2025,Bet365,volejbal,zápasy zen,aranmare,1.025,405
17.9.2025,Bet365,volejbal,zápasy zen,sisaket,1.01,405
17.9.2025,Bet365,volejbal,brasil paulista U19 ženy,barueri,1.015,405
17.9.2025,Bet365,volejbal,brasil paulista U19 ženy,osasco,1.015,405
17.9.2025,Bet365,volejbal,zápasy zen,khonkaen,1.03,560
17.9.2025,Bet365,volejbal,zápasy zen,aranmare,1.025,560
17.9.2025,Bet365,volejbal,zápasy zen,sisaket,1.01,560
19.9.2025,Nike,atletika,ms 400m prekážky ženy,celkovo víťaz bol áno,1.08,150
19.9.2025,Bet365,volejbal,ncaa ženy,Boston college,1.015,680
20.9.2025,Bet365,volejbal,zápasy zen,sisaket,1.015,800
